date,product_id,sales,search_volume,cart_additions,seller_count,lowest_price,median_price
2026-07-24 14:35:44.238545,P0001,399.0,1226.0,135.0,17.0,2009,1864
2026-08-08 14:35:44.238545,P0001,412.7793867339695,1238.4263865263672,144.97391875829368,19.81443755830866,1949,1407
2026-08-16 14:35:44.238545,P0001,545.7132397557779,1673.4023734657703,166.73225624910194,20.220080180111424,1369,2657
2026-08-23 14:35:44.238545,P0001,627.0604967978284,1862.423374075821,146.57090655424813,20.95144462273525,1369,1318
2026-07-24 14:35:44.238545,P0002,266.0,975.0,215.0,6.0,2407,1931
2026-08-08 14:35:44.238545,P0002,295.41288846996423,1205.3162685038094,276.37492337883816,7.292546521999074,2155,2471
2026-08-16 14:35:44.238545,P0002,335.7457805966904,1044.086491836919,237.26004337531268,6.147962728778468,2306,2110
2026-08-23 14:35:44.238545,P0002,289.02882840765193,1155.5735171441145,213.4135121349875,7.573402106459485,1887,1322
2026-07-24 14:35:44.238545,P0003,232.0,2679.0,109.0,27.0,2337,2762
2026-08-08 14:35:44.238545,P0003,291.3952147247522,2719.105262810145,125.96989743439715,28.305958611670995,2225,2060
2026-08-16 14:35:44.238545,P0003,290.4700970150975,3434.946820273893,169.99109091012733,28.381667651771142,1073,2641
2026-08-23 14:35:44.238545,P0003,308.2783386597545,3612.226741655342,155.3344281529535,31.711874668360416,2346,2825
2026-07-24 14:35:44.238545,P0004,118.0,986.0,257.0,20.0,1005,2705
2026-08-08 14:35:44.238545,P0004,127.82176226442401,1045.4618996976747,270.17450260903814,20.07781601990835,1893,1259
2026-08-16 14:35:44.238545,P0004,137.41295215112908,1500.5798445220307,339.8239708278196,25.88155334687597,1058,2306
2026-08-23 14:35:44.238545,P0004,185.3870527662164,1299.7047946003345,434.7956261104299,26.314706415889653,1761,1980
2026-07-24 14:35:44.238545,P0005,27.0,690.0,219.0,12.0,1614,2330
2026-08-08 14:35:44.238545,P0005,28.325554096693537,757.7663461494694,276.29082386145944,13.760953630909555,1448,2283
2026-08-16 14:35:44.238545,P0005,36.961470421269446,964.8426678534088,335.1071423280321,12.181649445178694,940,1480
2026-08-23 14:35:44.238545,P0005,38.574808473045174,1132.0808086188035,393.7208355582995,16.92865802047032,1688,1201
2026-07-24 14:35:44.238545,P0006,249.0,1582.0,272.0,9.0,2149,2067
2026-08-08 14:35:44.238545,P0006,277.7567855783982,1924.111860904906,268.80101392739573,11.471502218846084,1622,1873
2026-08-16 14:35:44.238545,P0006,337.13060719896816,1967.3297298389614,422.8208376301048,9.27889726633368,965,1659
2026-08-23 14:35:44.238545,P0006,352.3296350908359,1580.8319698343153,321.9836990977988,12.133729785290026,1923,2458
